IDPESSOA;DISCIPLINA;NOTA;ANO;SEMESTRE
1401243;ALGORITMOS;RI;2021;3
1401243;LABORATÓRIO DE CIÊNCIA DA COMPUTAÇÃO;30;2021;3
1401243;INTRODUÇÃO A CIÊNCIA DA COMPUTAÇÃO;RI;2021;3
1401243;LABORATÓRIO DE PROGRAMAÇÃO;RI;2021;3
1401243;CÁLCULO I;9;2021;3
1401243;LÓGICA E FUNDAMENTOS PARA A COMPUTAÇÃO ;24;2021;3
1401243;GEOMETRIA ANALÍTICA E SISTEMAS LINEARES;30;2021;3
1399882;LABORATÓRIO DE PROGRAMAÇÃO;2;2021;1
1399882;INTRODUÇÃO ÀS CIÊNCIAS EXATAS;0;2021;1
1399882;CÁLCULO I;TM;2021;3
1399882;GEOMETRIA ANALÍTICA E SISTEMAS LINEARES;TM;2021;3
1399882;ALGORITMOS;TM;2021;3
1399882;CÁLCULO I;2;2021;1
1399882;ALGORITMOS;RI;2021;1
1399882;LABORATÓRIO DE PROGRAMAÇÃO;TM;2022;1
1399882;INTERAÇÃO HUMANO-COMPUTADOR;TM;2022;1
1399882;EMPREENDIMENTOS EM INFORMATICA;TM;2022;1
1399882;GEOMETRIA ANALÍTICA E SISTEMAS LINEARES;27;2021;1
1399882;LABORATÓRIO DE QUÍMICA;RI;2022;3
1399882;QUÍMICA FUNDAMENTAL;RI;2022;3
1399882;ALGORITMOS;RI;2022;3
1399882;LABORATÓRIO DE PROGRAMAÇÃO;RI;2022;3
1399882;QUÍMICA FUNDAMENTAL;RI;2021;1
1399882;LABORATÓRIO DE INTRODUÇÃO ÀS CIÊNCIAS FÍSICAS;RI;2021;1
1399882;LABORATÓRIO DE QUÍMICA;RI;2021;1
1061242;CÁLCULO NUMÉRICO;63;2015;3
1061242;ALGORITMOS;92;2014;1
1061242;LABORATÓRIO DE PROGRAMAÇÃO;92;2014;1
1061242;CÁLCULO I;92;2014;1
1061242;GEOMETRIA ANALÍTICA E SISTEMAS LINEARES;68;2014;1
1061242;CÁLCULO II;76;2014;3
1061242;CÁLCULO III;60;2015;3
1061242;ÁLGEBRA LINEAR;72;2014;3
1061242;FÍSICA I;62;2014;3
1061242;LABORATÓRIO DE FÍSICA I;74;2014;3
1061242;FÍSICA II;77;2015;1
1061242;FISICA III;67;2016;1
1061242;CÁLCULO DE PROBABILIDADES I;83;2015;1
1061242;CIRCUITOS DIGITAIS;78;2021;3
1061242;ESTRUTURA DE DADOS;RI;2022;1
1061242;LABORATÓRIO DE CIÊNCIA DA COMPUTAÇÃO;90;2021;3
1061242;INTRODUÇÃO A CIÊNCIA DA COMPUTAÇÃO;79;2021;3
1061242;EQUAÇÕES DIFERENCIAIS I;65;2016;1
1061242;LABORATÓRIO DE PROGRAMAÇÃO II;RI;2022;1
1061242;LÓGICA E FUNDAMENTOS PARA A COMPUTAÇÃO ;71;2021;3
1061242;ORGANIZAÇÃO DE COMPUTADORES;RI;2022;1
1391397;ALGORITMOS;53;2021;1
1391397;CÁLCULO I;62;2021;1
1391397;LABORATÓRIO DE PROGRAMAÇÃO;53;2021;1
1391397;LÓGICA E FUNDAMENTOS PARA A COMPUTAÇÃO ;72;2021;1
1391397;CÁLCULO I;RI;2020;3
1391397;LABORATÓRIO DE PROGRAMAÇÃO;0;2020;3
1391397;ALGORITMOS;RI;2020;3
1391397;LÓGICA E FUNDAMENTOS PARA A COMPUTAÇÃO ;RI;2020;3
1391397;INTRODUÇÃO A CIÊNCIA DA COMPUTAÇÃO;RI;2020;3
1391397;GEOMETRIA ANALÍTICA E SISTEMAS LINEARES;47;2021;1
1391397;LABORATÓRIO DE CIÊNCIA DA COMPUTAÇÃO;RI;2020;3
1391397;GEOMETRIA ANALÍTICA E SISTEMAS LINEARES;0;2020;3
1399462;ESTRUTURA DE DADOS;60;2021;3
1399462;LABORATÓRIO DE PROGRAMAÇÃO;79;2021;1
1399462;ÁLGEBRA LINEAR;42;2021;3
1399462;INTRODUÇÃO À TEORIA DOS NÚMEROS;81;2021;3
1399462;LABORATÓRIO DE CIÊNCIA DA COMPUTAÇÃO;100;2021;3
1399462;LABORATÓRIO DE TRANSFORMAÇÕES QUÍMICAS;92;2021;3
1399462;INTRODUÇÃO ÀS CIÊNCIAS EXATAS;73;2021;1
1399462;LABORATÓRIO DE PROGRAMAÇÃO II;60;2021;3
1399462;CÁLCULO II;TM;2021;3
1399462;CÁLCULO I;95;2021;1
1399462;ALGORITMOS;79;2021;1
1399462;GEOMETRIA ANALÍTICA E SISTEMAS LINEARES;90;2021;1
1399462;FÍSICA I;53;2021;3
1399462;LABORATÓRIO DE FÍSICA I;71;2021;3
1399462;QUÍMICA FUNDAMENTAL;80;2021;1
1399462;LABORATÓRIO DE INTRODUÇÃO ÀS CIÊNCIAS FÍSICAS;87;2021;1
1399462;LABORATÓRIO DE QUÍMICA;83;2021;1
1397495;ESTRUTURA DE DADOS;78;2021;3
1397495;LABORATÓRIO DE PROGRAMAÇÃO;92;2021;1
1397495;LABORATÓRIO DE CIÊNCIA DA COMPUTAÇÃO;95;2021;3
1397495;INTRODUÇÃO ÀS CIÊNCIAS EXATAS;86;2021;1
1397495;LABORATÓRIO DE PROGRAMAÇÃO II;78;2021;3
1397495;CÁLCULO I;78;2021;1
1397495;TEORIA DOS GRAFOS;57;2022;1
1397495;CÁLCULO III;61;2022;1
1397495;INTRODUÇÃO À ESTATÍSTICA;68;2021;3
1397495;ALGORITMOS;92;2021;1
1397495;LABORATÓRIO DE TRANSFORMAÇÕES QUÍMICAS;72;2021;3
1397495;INTRODUÇÃO À TEORIA DOS NÚMEROS;32;2022;1
1397495;CÁLCULO II;70;2021;3
1397495;GEOMETRIA ANALÍTICA E SISTEMAS LINEARES;70;2021;1
1397495;FÍSICA I;90;2021;3
1397495;LABORATÓRIO DE FÍSICA I;75;2021;3
1397495;QUÍMICA FUNDAMENTAL;85;2021;1
1397495;LABORATÓRIO DE INTRODUÇÃO ÀS CIÊNCIAS FÍSICAS;91;2021;1
1397495;LABORATÓRIO DE QUÍMICA;79;2021;1
1394374;INTRODUÇÃO A CIÊNCIA DA COMPUTAÇÃO;TM;2021;3
1394374;ALGORITMOS;TM;2021;3
1394374;CÁLCULO II;TM;2021;3
1394374;LABORATÓRIO DE FÍSICA I;TM;2021;3
1394374;FÍSICA I;TM;2021;3
1394374;LABORATÓRIO DE PROGRAMAÇÃO;TM;2021;3
1394374;ÁLGEBRA LINEAR;TM;2021;3
1394374;LABORATÓRIO DE PROGRAMAÇÃO;51;2021;1
1394374;ALGORITMOS;TM;2022;1
1394374;SEMINARIO EM COMPUTACAO I;TM;2022;1
1394374;CÁLCULO II;TM;2022;1
1394374;FÍSICA I;TM;2022;1
1394374;ÁLGEBRA LINEAR;TM;2022;1
1394374;LABORATÓRIO DE PROGRAMAÇÃO;TM;2022;1
1394374;ALGORITMOS;51;2021;1
